Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"LGA and Local Government Areas (2011 Boundaries) (POW)"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"

"Counting","LGA","Local Government Areas (2011 Boundaries) (POW)","Count",
"Persons, Place of Work","Banyule (C)","Mitchell (S)",52
"Persons, Place of Work","Banyule (C)","Moira (S)",0
"Persons, Place of Work","Banyule (C)","Monash (C)",839
"Persons, Place of Work","Banyule (C)","Moonee Valley (C)",467
"Persons, Place of Work","Banyule (C)","Moorabool (S)",10
"Persons, Place of Work","Banyule (C)","Moreland (C)",1188
"Persons, Place of Work","Banyule (C)","Mornington Peninsula (S)",29
"Persons, Place of Work","Banyule (C)","Mount Alexander (S)",0
"Persons, Place of Work","Banyule (C)","Moyne (S)",0
"Persons, Place of Work","Banyule (C)","Murrindindi (S)",21
"Persons, Place of Work","Banyule (C)","Nillumbik (S)",1692
"Persons, Place of Work","Banyule (C)","Northern Grampians (S)",0
"Persons, Place of Work","Banyule (C)","Port Phillip (C)",1110
"Persons, Place of Work","Banyule (C)","Pyrenees (S)",0
"Persons, Place of Work","Banyule (C)","Queenscliffe (B)",0
"Persons, Place of Work","Banyule (C)","South Gippsland (S)",7
"Persons, Place of Work","Banyule (C)","Southern Grampians (S)",3
"Persons, Place of Work","Banyule (C)","Stonnington (C)",613
"Persons, Place of Work","Banyule (C)","Strathbogie (S)",3
"Persons, Place of Work","Banyule (C)","Surf Coast (S)",0
"Persons, Place of Work","Banyule (C)","Swan Hill (RC)",0
"Persons, Place of Work","Banyule (C)","Towong (S)",0
"Persons, Place of Work","Banyule (C)","Wangaratta (RC)",0
"Persons, Place of Work","Banyule (C)","Warrnambool (C)",0
"Persons, Place of Work","Banyule (C)","Wellington (S)",0
"Persons, Place of Work","Banyule (C)","West Wimmera (S)",3
"Persons, Place of Work","Banyule (C)","Whitehorse (C)",1426
"Persons, Place of Work","Banyule (C)","Whittlesea (C)",3244
"Persons, Place of Work","Banyule (C)","Wodonga (RC)",9
"Persons, Place of Work","Banyule (C)","Wyndham (C)",234
"Persons, Place of Work","Banyule (C)","Yarra (C)",2747
"Persons, Place of Work","Banyule (C)","Yarra Ranges (S)",139
"Persons, Place of Work","Banyule (C)","Yarriambiack (S)",0
"Persons, Place of Work","Banyule (C)","POW Capital city undefined (Greater Melbourne)",1463
"Persons, Place of Work","Banyule (C)","Unincorporated Vic",5
"Persons, Place of Work","Banyule (C)","POW No Fixed Address (Vic.)",2168
"Persons, Place of Work","Banyule (C)","POW State/Territory undefined (Vic.)",1505
"Persons, Place of Work","Bass Coast (S)","Alpine (S)",0
"Persons, Place of Work","Bass Coast (S)","Ararat (RC)",0
"Persons, Place of Work","Bass Coast (S)","Ballarat (C)",0
"Persons, Place of Work","Bass Coast (S)","Banyule (C)",4
"Persons, Place of Work","Bass Coast (S)","Bass Coast (S)",8618
"Persons, Place of Work","Bass Coast (S)","Baw Baw (S)",35
"Persons, Place of Work","Bass Coast (S)","Bayside (C)",9
"Persons, Place of Work","Bass Coast (S)","Benalla (RC)",0
"Persons, Place of Work","Bass Coast (S)","Boroondara (C)",30
"Persons, Place of Work","Bass Coast (S)","Brimbank (C)",12
"Persons, Place of Work","Bass Coast (S)","Buloke (S)",0
"Persons, Place of Work","Bass Coast (S)","Campaspe (S)",0
"Persons, Place of Work","Bass Coast (S)","Cardinia (S)",139
"Persons, Place of Work","Bass Coast (S)","Casey (C)",143
"Persons, Place of Work","Bass Coast (S)","Central Goldfields (S)",0
"Persons, Place of Work","Bass Coast (S)","Colac-Otway (S)",0
"Persons, Place of Work","Bass Coast (S)","Corangamite (S)",0
"Persons, Place of Work","Bass Coast (S)","Darebin (C)",12
"Persons, Place of Work","Bass Coast (S)","East Gippsland (S)",0
"Persons, Place of Work","Bass Coast (S)","Frankston (C)",71
"Persons, Place of Work","Bass Coast (S)","Gannawarra (S)",0
"Persons, Place of Work","Bass Coast (S)","Glen Eira (C)",15
"Persons, Place of Work","Bass Coast (S)","Glenelg (S)",0
"Persons, Place of Work","Bass Coast (S)","Golden Plains (S)",0
"Persons, Place of Work","Bass Coast (S)","Greater Bendigo (C)",0
"Persons, Place of Work","Bass Coast (S)","Greater Dandenong (C)",150
"Persons, Place of Work","Bass Coast (S)","Greater Geelong (C)",8
"Persons, Place of Work","Bass Coast (S)","Greater Shepparton (C)",0
"Persons, Place of Work","Bass Coast (S)","Hepburn (S)",0
"Persons, Place of Work","Bass Coast (S)","Hindmarsh (S)",0
"Persons, Place of Work","Bass Coast (S)","Hobsons Bay (C)",3
"Persons, Place of Work","Bass Coast (S)","Horsham (RC)",0
"Persons, Place of Work","Bass Coast (S)","Hume (C)",8
"Persons, Place of Work","Bass Coast (S)","Indigo (S)",0
"Persons, Place of Work","Bass Coast (S)","Kingston (C)",49
"Persons, Place of Work","Bass Coast (S)","Knox (C)",42
"Persons, Place of Work","Bass Coast (S)","Latrobe (C)",62
"Persons, Place of Work","Bass Coast (S)","Loddon (S)",0
"Persons, Place of Work","Bass Coast (S)","Macedon Ranges (S)",3
"Persons, Place of Work","Bass Coast (S)","Manningham (C)",7
"Persons, Place of Work","Bass Coast (S)","Mansfield (S)",0
"Persons, Place of Work","Bass Coast (S)","Maribyrnong (C)",9
"Persons, Place of Work","Bass Coast (S)","Maroondah (C)",19
"Persons, Place of Work","Bass Coast (S)","Melbourne (C)",126
"Persons, Place of Work","Bass Coast (S)","Melton (S)",0
"Persons, Place of Work","Bass Coast (S)","Mildura (RC)",0
"Persons, Place of Work","Bass Coast (S)","Mitchell (S)",3
"Persons, Place of Work","Bass Coast (S)","Moira (S)",0
"Persons, Place of Work","Bass Coast (S)","Monash (C)",62
"Persons, Place of Work","Bass Coast (S)","Moonee Valley (C)",7
"Persons, Place of Work","Bass Coast (S)","Moorabool (S)",0
"Persons, Place of Work","Bass Coast (S)","Moreland (C)",3
"Persons, Place of Work","Bass Coast (S)","Mornington Peninsula (S)",36
"Persons, Place of Work","Bass Coast (S)","Mount Alexander (S)",0
"Persons, Place of Work","Bass Coast (S)","Moyne (S)",0
"Persons, Place of Work","Bass Coast (S)","Murrindindi (S)",0
"Persons, Place of Work","Bass Coast (S)","Nillumbik (S)",3
"Persons, Place of Work","Bass Coast (S)","Northern Grampians (S)",0
"Persons, Place of Work","Bass Coast (S)","Port Phillip (C)",44
"Persons, Place of Work","Bass Coast (S)","Pyrenees (S)",0
"Persons, Place of Work","Bass Coast (S)","Queenscliffe (B)",0
"Persons, Place of Work","Bass Coast (S)","South Gippsland (S)",633
"Persons, Place of Work","Bass Coast (S)","Southern Grampians (S)",0
"Persons, Place of Work","Bass Coast (S)","Stonnington (C)",18
"Persons, Place of Work","Bass Coast (S)","Strathbogie (S)",0
"Persons, Place of Work","Bass Coast (S)","Surf Coast (S)",3
"Persons, Place of Work","Bass Coast (S)","Swan Hill (RC)",0
"Persons, Place of Work","Bass Coast (S)","Towong (S)",0
"Persons, Place of Work","Bass Coast (S)","Wangaratta (RC)",0
"Persons, Place of Work","Bass Coast (S)","Warrnambool (C)",0
"Persons, Place of Work","Bass Coast (S)","Wellington (S)",6
"Persons, Place of Work","Bass Coast (S)","West Wimmera (S)",0
"Persons, Place of Work","Bass Coast (S)","Whitehorse (C)",29
"Persons, Place of Work","Bass Coast (S)","Whittlesea (C)",4
"Persons, Place of Work","Bass Coast (S)","Wodonga (RC)",0
"Persons, Place of Work","Bass Coast (S)","Wyndham (C)",4
"Persons, Place of Work","Bass Coast (S)","Yarra (C)",32
"Persons, Place of Work","Bass Coast (S)","Yarra Ranges (S)",7
"Persons, Place of Work","Bass Coast (S)","Yarriambiack (S)",0
"Persons, Place of Work","Bass Coast (S)","POW Capital city undefined (Greater Melbourne)",87
"Persons, Place of Work","Bass Coast (S)","Unincorporated Vic",22
"Persons, Place of Work","Bass Coast (S)","POW No Fixed Address (Vic.)",641
"Persons, Place of Work","Bass Coast (S)","POW State/Territory undefined (Vic.)",429
"Persons, Place of Work","Baw Baw (S)","Alpine (S)",0
"Persons, Place of Work","Baw Baw (S)","Ararat (RC)",0
"Persons, Place of Work","Baw Baw (S)","Ballarat (C)",0
"Persons, Place of Work","Baw Baw (S)","Banyule (C)",12
"Persons, Place of Work","Baw Baw (S)","Bass Coast (S)",126
