Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"STATE (UR) by LGA (POW)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","STATE (UR)","LGA (POW)","Count",
"Persons Aged 15 Years and Over Place of Work","Western Australia","Moorabool (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Moreland (C)",11
"Persons Aged 15 Years and Over Place of Work","Western Australia","Mornington Peninsula (S)",50
"Persons Aged 15 Years and Over Place of Work","Western Australia","Mount Alexander (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Moyne (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Murrindindi (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Nillumbik (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Northern Grampians (S)",4
"Persons Aged 15 Years and Over Place of Work","Western Australia","Port Phillip (C)",80
"Persons Aged 15 Years and Over Place of Work","Western Australia","Pyrenees (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Queenscliffe (B)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","South Gippsland (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Southern Grampians (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Stonnington (C)",38
"Persons Aged 15 Years and Over Place of Work","Western Australia","Strathbogie (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Surf Coast (S)",4
"Persons Aged 15 Years and Over Place of Work","Western Australia","Swan Hill (RC)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Towong (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Wangaratta (RC)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Warrnambool (C)",3
"Persons Aged 15 Years and Over Place of Work","Western Australia","Wellington (S)",32
"Persons Aged 15 Years and Over Place of Work","Western Australia","West Wimmera (S)",0
"Persons Aged 15 Years and Over Place of Work","Western Australia","Whitehorse (C)",19
"Persons Aged 15 Years and Over Place of Work","Western Australia","Whittlesea (C)",11
"Persons Aged 15 Years and Over Place of Work","Western Australia","Wodonga (C)",5
"Persons Aged 15 Years and Over Place of Work","Western Australia","Wyndham (C)",20
"Persons Aged 15 Years and Over Place of Work","Western Australia","Yarra (C)",74
