Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"STATE and Local Government Areas (2011 Boundaries) (POW)"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"

"Counting","STATE","Local Government Areas (2011 Boundaries) (POW)","Count",
"Persons, Place of Work","Western Australia","Bayside (C)",13
"Persons, Place of Work","Western Australia","Benalla (RC)",0
"Persons, Place of Work","Western Australia","Boroondara (C)",39
"Persons, Place of Work","Western Australia","Brimbank (C)",7
"Persons, Place of Work","Western Australia","Buloke (S)",0
"Persons, Place of Work","Western Australia","Campaspe (S)",3
"Persons, Place of Work","Western Australia","Cardinia (S)",0
"Persons, Place of Work","Western Australia","Casey (C)",10
"Persons, Place of Work","Western Australia","Central Goldfields (S)",0
"Persons, Place of Work","Western Australia","Colac-Otway (S)",3
"Persons, Place of Work","Western Australia","Corangamite (S)",6
"Persons, Place of Work","Western Australia","Darebin (C)",13
"Persons, Place of Work","Western Australia","East Gippsland (S)",0
"Persons, Place of Work","Western Australia","Frankston (C)",5
"Persons, Place of Work","Western Australia","Gannawarra (S)",0
"Persons, Place of Work","Western Australia","Glen Eira (C)",4
"Persons, Place of Work","Western Australia","Glenelg (S)",0
"Persons, Place of Work","Western Australia","Golden Plains (S)",0
"Persons, Place of Work","Western Australia","Greater Bendigo (C)",3
"Persons, Place of Work","Western Australia","Greater Dandenong (C)",28
"Persons, Place of Work","Western Australia","Greater Geelong (C)",24
"Persons, Place of Work","Western Australia","Greater Shepparton (C)",3
"Persons, Place of Work","Western Australia","Hepburn (S)",0
"Persons, Place of Work","Western Australia","Hindmarsh (S)",0
"Persons, Place of Work","Western Australia","Hobsons Bay (C)",18
"Persons, Place of Work","Western Australia","Horsham (RC)",3
"Persons, Place of Work","Western Australia","Hume (C)",20
"Persons, Place of Work","Western Australia","Indigo (S)",0
"Persons, Place of Work","Western Australia","Kingston (C)",17
"Persons, Place of Work","Western Australia","Knox (C)",35
"Persons, Place of Work","Western Australia","Latrobe (C)",0
"Persons, Place of Work","Western Australia","Loddon (S)",0
"Persons, Place of Work","Western Australia","Macedon Ranges (S)",3
"Persons, Place of Work","Western Australia","Manningham (C)",4
"Persons, Place of Work","Western Australia","Mansfield (S)",0
"Persons, Place of Work","Western Australia","Maribyrnong (C)",5
"Persons, Place of Work","Western Australia","Maroondah (C)",6
"Persons, Place of Work","Western Australia","Melbourne (C)",289
"Persons, Place of Work","Western Australia","Melton (S)",0
"Persons, Place of Work","Western Australia","Mildura (RC)",3
"Persons, Place of Work","Western Australia","Mitchell (S)",3
"Persons, Place of Work","Western Australia","Moira (S)",0
"Persons, Place of Work","Western Australia","Monash (C)",51
"Persons, Place of Work","Western Australia","Moonee Valley (C)",5
"Persons, Place of Work","Western Australia","Moorabool (S)",0
"Persons, Place of Work","Western Australia","Moreland (C)",8
"Persons, Place of Work","Western Australia","Mornington Peninsula (S)",30
"Persons, Place of Work","Western Australia","Mount Alexander (S)",3
"Persons, Place of Work","Western Australia","Moyne (S)",0
"Persons, Place of Work","Western Australia","Murrindindi (S)",0
"Persons, Place of Work","Western Australia","Nillumbik (S)",3
"Persons, Place of Work","Western Australia","Northern Grampians (S)",0
"Persons, Place of Work","Western Australia","Port Phillip (C)",56
"Persons, Place of Work","Western Australia","Pyrenees (S)",0
"Persons, Place of Work","Western Australia","Queenscliffe (B)",0
"Persons, Place of Work","Western Australia","South Gippsland (S)",5
"Persons, Place of Work","Western Australia","Southern Grampians (S)",3
"Persons, Place of Work","Western Australia","Stonnington (C)",10
"Persons, Place of Work","Western Australia","Strathbogie (S)",0
"Persons, Place of Work","Western Australia","Surf Coast (S)",0
"Persons, Place of Work","Western Australia","Swan Hill (RC)",0
"Persons, Place of Work","Western Australia","Towong (S)",0
"Persons, Place of Work","Western Australia","Wangaratta (RC)",0
"Persons, Place of Work","Western Australia","Warrnambool (C)",4
"Persons, Place of Work","Western Australia","Wellington (S)",7
"Persons, Place of Work","Western Australia","West Wimmera (S)",0
"Persons, Place of Work","Western Australia","Whitehorse (C)",22
"Persons, Place of Work","Western Australia","Whittlesea (C)",6
"Persons, Place of Work","Western Australia","Wodonga (RC)",3
"Persons, Place of Work","Western Australia","Wyndham (C)",9
"Persons, Place of Work","Western Australia","Yarra (C)",36
"Persons, Place of Work","Western Australia","Yarra Ranges (S)",7
"Persons, Place of Work","Western Australia","Yarriambiack (S)",0
"Persons, Place of Work","Western Australia","POW Capital city undefined (Greater Melbourne)",50
"Persons, Place of Work","Western Australia","Unincorporated Vic",84
"Persons, Place of Work","Western Australia","POW No Fixed Address (Vic.)",141
"Persons, Place of Work","Western Australia","POW State/Territory undefined (Vic.)",228
"Persons, Place of Work","Tasmania","Alpine (S)",4
"Persons, Place of Work","Tasmania","Ararat (RC)",0
"Persons, Place of Work","Tasmania","Ballarat (C)",11
"Persons, Place of Work","Tasmania","Banyule (C)",5
"Persons, Place of Work","Tasmania","Bass Coast (S)",9
"Persons, Place of Work","Tasmania","Baw Baw (S)",0
"Persons, Place of Work","Tasmania","Bayside (C)",5
"Persons, Place of Work","Tasmania","Benalla (RC)",0
"Persons, Place of Work","Tasmania","Boroondara (C)",10
"Persons, Place of Work","Tasmania","Brimbank (C)",12
"Persons, Place of Work","Tasmania","Buloke (S)",0
"Persons, Place of Work","Tasmania","Campaspe (S)",0
"Persons, Place of Work","Tasmania","Cardinia (S)",3
"Persons, Place of Work","Tasmania","Casey (C)",9
"Persons, Place of Work","Tasmania","Central Goldfields (S)",0
"Persons, Place of Work","Tasmania","Colac-Otway (S)",0
"Persons, Place of Work","Tasmania","Corangamite (S)",4
"Persons, Place of Work","Tasmania","Darebin (C)",8
"Persons, Place of Work","Tasmania","East Gippsland (S)",3
"Persons, Place of Work","Tasmania","Frankston (C)",8
"Persons, Place of Work","Tasmania","Gannawarra (S)",0
"Persons, Place of Work","Tasmania","Glen Eira (C)",6
"Persons, Place of Work","Tasmania","Glenelg (S)",0
"Persons, Place of Work","Tasmania","Golden Plains (S)",0
"Persons, Place of Work","Tasmania","Greater Bendigo (C)",5
"Persons, Place of Work","Tasmania","Greater Dandenong (C)",19
"Persons, Place of Work","Tasmania","Greater Geelong (C)",20
"Persons, Place of Work","Tasmania","Greater Shepparton (C)",0
"Persons, Place of Work","Tasmania","Hepburn (S)",0
"Persons, Place of Work","Tasmania","Hindmarsh (S)",0
"Persons, Place of Work","Tasmania","Hobsons Bay (C)",9
"Persons, Place of Work","Tasmania","Horsham (RC)",0
"Persons, Place of Work","Tasmania","Hume (C)",17
"Persons, Place of Work","Tasmania","Indigo (S)",0
"Persons, Place of Work","Tasmania","Kingston (C)",8
"Persons, Place of Work","Tasmania","Knox (C)",14
"Persons, Place of Work","Tasmania","Latrobe (C)",3
"Persons, Place of Work","Tasmania","Loddon (S)",0
"Persons, Place of Work","Tasmania","Macedon Ranges (S)",0
"Persons, Place of Work","Tasmania","Manningham (C)",0
"Persons, Place of Work","Tasmania","Mansfield (S)",0
"Persons, Place of Work","Tasmania","Maribyrnong (C)",6
"Persons, Place of Work","Tasmania","Maroondah (C)",5
"Persons, Place of Work","Tasmania","Melbourne (C)",151
"Persons, Place of Work","Tasmania","Melton (S)",0
"Persons, Place of Work","Tasmania","Mildura (RC)",0
"Persons, Place of Work","Tasmania","Mitchell (S)",10
"Persons, Place of Work","Tasmania","Moira (S)",0
"Persons, Place of Work","Tasmania","Monash (C)",36
"Persons, Place of Work","Tasmania","Moonee Valley (C)",0
"Persons, Place of Work","Tasmania","Moorabool (S)",0
"Persons, Place of Work","Tasmania","Moreland (C)",4
"Persons, Place of Work","Tasmania","Mornington Peninsula (S)",11
